Date,Name,Year,Letterboxd URI,Rating
2017-07-17,13 Golden Nuns,1977,https://letterboxd.com/film/13-golden-nuns/,4
2017-07-19,The Last House on the Left,1972,https://letterboxd.com/film/the-last-house-on-the-left/,2.5
2017-07-20,Desistfilm,1954,https://letterboxd.com/film/desistfilm/,3.5
2017-07-20,The Dante Quartet,1987,https://letterboxd.com/film/the-dante-quartet/,4
2017-07-20,Night Music,1986,https://letterboxd.com/film/night-music/,4
2017-07-20,Rage Net,1988,https://letterboxd.com/film/rage-net/,3.5
2017-07-20,Glaze of Cathexis,1990,https://letterboxd.com/film/glaze-of-cathexis/,4
2017-07-20,Comingled Containers,1997,https://letterboxd.com/film/comingled-containers/,4.5
2017-07-23,Unconscious London Strata,1981,https://letterboxd.com/film/unconscious-london-strata/,3.5
2017-07-25,Unearthed & Untold: The Path to Pet Sematary,2017,https://letterboxd.com/film/unearthed-untold-the-path-to-pet-sematary/,2.5
2017-07-27,It,1990,https://letterboxd.com/film/it-1990/,3
2017-07-29,Frankenstein Meets the Space Monster,1965,https://letterboxd.com/film/frankenstein-meets-the-space-monster/,4
2017-07-29,The Monster of Piedras Blancas,1959,https://letterboxd.com/film/the-monster-of-piedras-blancas/,3.5
2017-07-30,Blood Feast,1963,https://letterboxd.com/film/blood-feast/,4
2017-07-30,The Sadist,1963,https://letterboxd.com/film/the-sadist/,4
2017-07-30,Spider Baby,1967,https://letterboxd.com/film/spider-baby/,3
2017-08-02,I Called Him Morgan,2016,https://letterboxd.com/film/i-called-him-morgan/,4
2017-08-04,American Anarchist,2016,https://letterboxd.com/film/american-anarchist/,4
2017-08-12,13 Cameras,2015,https://letterboxd.com/film/13-cameras/,2
2017-08-21,In the Mirror of Maya Deren,2002,https://letterboxd.com/film/in-the-mirror-of-maya-deren/,4
2017-08-21,The Founder,2016,https://letterboxd.com/film/the-founder/,4
2017-08-24,S Is for Stanley - Trent'anni dietro al volante per Stanley Kubrick,2015,https://letterboxd.com/film/s-is-for-stanley-trentanni-dietro-al-volante-per-stanley-kubrick/,4
2017-08-25,Birth of the Living Dead,2013,https://letterboxd.com/film/birth-of-the-living-dead/,3
2017-08-28,Friday the 13th Part VIII: Jason Takes Manhattan,1989,https://letterboxd.com/film/friday-the-13th-part-viii-jason-takes-manhattan/,2.5
2017-09-01,Society,1989,https://letterboxd.com/film/society/,3
2017-09-02,Suspiria,1977,https://letterboxd.com/film/suspiria/,4
